traceno,thresohold,time,ops,iops,size,thruput,l95,l99,l9999
1,10,148.7975,946782609,7.36E+06,118499022129,890962.5,118.5,0.000171,0.0002995
1,50,143.0125,946782609,7.59E+06,76647467474,602062,119,0.0001505,0.0002575
1,100,142.4025,946782609,7.59E+06,78310195000,615867,118.5,0.0001555,0.0002935
1,300,130.0335,946782609,8.51E+06,92461303112.5,857966.5,113,0.000158,0.000337
1,500,124.9915,946782609,8.99E+06,64896323569,604125,111,0.0001525,0.000284
2,10,261.587,925150951,3.70E+06,65952081712.5,256975.5,127.5,0.0001575,0.0002945
2,50,263.019,925150951,3.69E+06,41869089058.5,162749,128,0.0001605,0.00029
2,100,262.7185,925150951,3.70E+06,66118203651,257590.5,127.5,0.0001555,0.0002785
2,300,243.1935,925150951,3.98E+06,41419238069,173864.5,126.5,0.0001595,0.000282
2,500,242.7265,925150951,4.00E+06,40145065982,169351,125,0.000156,0.0002865
25,10,772.5975,1525189585,2.65E+06,65508504990,111362.5,132.5,0.000159,0.0002945
25,50,772.839333333333,1525189585,2.65E+06,60403178453.6667,102966.666666667,132.333333333333,0.000157,0.000286666666666667
25,100,769.648,1525189585,2.66E+06,55283260956,94466.2666666667,132.333333333333,0.000156333333333333,0.000279666666666667
25,300,763.585666666667,1525189585,2.66E+06,65484220977.6667,111868.333333333,132,0.000156666666666667,0.000277333333333333
25,500,773.126666666667,1525189585,2.63E+06,60241202502,101853.666666667,133.666666666667,0.000167333333333333,0.000360666666666667
